areaType,areaName,areaCode,date,newCasesBySpecimenDate,cumCasesBySpecimenDate
overview,United Kingdom,K02000001,2021-06-29,23809,4820595
overview,United Kingdom,K02000001,2021-06-28,27178,4796786
overview,United Kingdom,K02000001,2021-06-27,18103,4769608
overview,United Kingdom,K02000001,2021-06-26,15910,4751505
overview,United Kingdom,K02000001,2021-06-25,17738,4735595
overview,United Kingdom,K02000001,2021-06-24,18260,4717857
overview,United Kingdom,K02000001,2021-06-23,17893,4699597
overview,United Kingdom,K02000001,2021-06-22,16997,4681704
overview,United Kingdom,K02000001,2021-06-21,15956,4664707
overview,United Kingdom,K02000001,2021-06-20,9874,4648751
overview,United Kingdom,K02000001,2021-06-19,8257,4638877
overview,United Kingdom,K02000001,2021-06-18,10058,4630620
overview,United Kingdom,K02000001,2021-06-17,10772,4620562
overview,United Kingdom,K02000001,2021-06-16,10786,4609790
overview,United Kingdom,K02000001,2021-06-15,10505,4599004
overview,United Kingdom,K02000001,2021-06-14,10114,4588499
overview,United Kingdom,K02000001,2021-06-13,6949,4578385
overview,United Kingdom,K02000001,2021-06-12,6114,4571436
overview,United Kingdom,K02000001,2021-06-11,7448,4565322
overview,United Kingdom,K02000001,2021-06-10,7843,4557874
overview,United Kingdom,K02000001,2021-06-09,7986,4550031
overview,United Kingdom,K02000001,2021-06-08,7670,4542045
overview,United Kingdom,K02000001,2021-06-07,7723,4534375
overview,United Kingdom,K02000001,2021-06-06,5401,4526652
overview,United Kingdom,K02000001,2021-06-05,4619,4521251
overview,United Kingdom,K02000001,2021-06-04,5714,4516632
overview,United Kingdom,K02000001,2021-06-03,6095,4510918
overview,United Kingdom,K02000001,2021-06-02,6053,4504823
overview,United Kingdom,K02000001,2021-06-01,5245,4498770
overview,United Kingdom,K02000001,2021-05-31,3802,4493525
overview,United Kingdom,K02000001,2021-05-30,3099,4489723
overview,United Kingdom,K02000001,2021-05-29,2933,4486624
overview,United Kingdom,K02000001,2021-05-28,3488,4483691
overview,United Kingdom,K02000001,2021-05-27,3637,4480203
